Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,187.65,-39.25,-90.0,top
C1,1uF,C_0603_1608Metric,199.45,-63.85,180.0,top
C1,1uF,C_0603_1608Metric,217.65,-59.5,180.0,top
C10,100nF,C_0603_1608Metric,206.21,-79.7,180.0,top
C11,10uF,C_0603_1608Metric,207.15,-60.15,0.0,top
C12,1u,C_0603_1608Metric,214.95,-61.35,90.0,top
C13,1u,C_0603_1608Metric,217.65,-61.3,180.0,top
C14,0.1u,C_0603_1608Metric,193.675,-93.475,-90.0,top
C15,10n,C_0603_1608Metric,202.95,-71.3,90.0,top
C16,0.1u,C_0603_1608Metric,212.375,-91.65,-90.0,top
C17,0.1u,C_0603_1608Metric,227.25,-87.075,0.0,top
C18,0.1u,C_0603_1608Metric,226.813465,-92.249763,180.0,top
C19,100n,C_0603_1608Metric,182.6125,-58.45,90.0,top
C2,18pF,C_0603_1608Metric,202.45,-63.875,180.0,top
C20,100n,C_0603_1608Metric,188.8625,-58.35,-90.0,top
C21,33pF,C_0603_1608Metric,198.44,-69.45,90.0,top
C3,33pF,C_0603_1608Metric,198.578,-66.386,90.0,top
C30,0.1u,C_0603_1608Metric,206.0,-92.2,90.0,top
C4,0.1u,C_0603_1608Metric,188.15,-93.1,90.0,top
C6,100nF,C_0603_1608Metric,204.675,-58.175,90.0,top
C7,100nF,C_0603_1608Metric,207.1,-61.85,0.0,top
C8,100nF,C_0603_1608Metric,214.25,-77.2,180.0,top
C9,100nF,C_0603_1608Metric,207.7,-77.65,180.0,top
FB1,120R,L_0603_1608Metric,217.6125,-64.45,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,241.0,-95.0,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,181.0,-94.95,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,241.0,-40.0,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,181.0,-39.95,0.0,top
J1,Micro_SD_Card,microSD_HC_Molex_47219-2001,243.293,-66.578,-90.0,top
J14,Conn_01x24,PinSocket_1x24_P2.54mm_Vertical,211.26,-33.05,90.0,bottom
J18,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,201.05,-82.29,180.0,top
J3,PWR_IN_FILTER,PinHeader_1x06_P2.54mm_Vertical,173.75,-60.97,0.0,bottom
J4,BOUY_INTERFACE,PinHeader_1x09_P2.54mm_Vertical,246.35,-87.76,0.0,top
J5,PWR_OUT_FILTER,PinHeader_1x04_P2.54mm_Vertical,173.55,-78.4,0.0,bottom
J6,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,197.3,-48.06,0.0,bottom
JP18,SD_CTRL0,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,223.775,-89.875,-90.0,top
JUMP1,SD_3V3_2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,232.063465,-89.599763,90.0,top
LORA1,LORA_INTERFACE,PinHeader_1x12_P2.54mm_Vertical,192.33,-101.7,-90.0,top
LoSWD0,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,194.71,-41.12,90.0,top
LoSWD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,203.07,-41.04,90.0,top
Lo_3V3,Lo_3V3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,210.14,-88.78,0.0,top
R1,22,R_0603_1608Metric,222.641359,-62.55216,180.0,top
R10,47k,R_0603_1608Metric,228.25,-73.55,-90.0,top
R11,47k,R_0603_1608Metric,232.0,-74.0,-90.0,top
R12,47k,R_0603_1608Metric,231.75,-59.95,90.0,top
R2,22,R_0603_1608Metric,222.623762,-64.370866,180.0,top
R3,22,R_0603_1608Metric,222.641359,-69.66416,180.0,top
R4,22,R_0603_1608Metric,222.641359,-71.69616,180.0,top
R5,22,R_0603_1608Metric,222.641359,-66.10816,180.0,top
R6,22,R_0603_1608Metric,222.65,-67.9,180.0,top
R7,10k,R_0603_1608Metric,207.975,-57.05,0.0,top
R8,47k,R_0603_1608Metric,227.9,-67.15,0.0,top
R9,47k,R_0603_1608Metric,227.95,-59.8,90.0,top
SD3v3,jump,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,186.5125,-61.65,0.0,top
SD_3V3,jUMP,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,232.825,-93.15,-90.0,top
SD_CLK1,TestPoint,TestPoint_Pad_D1.5mm,224.18,-59.43,180.0,top
SD_CMD1,TestPoint,TestPoint_Pad_D1.5mm,230.66,-53.96,0.0,top
SD_D0,TestPoint,TestPoint_Pad_D1.5mm,225.15,-73.6,180.0,top
U1,STM32L476RGTx,LQFP-64_10x10mm_P0.5mm,210.734,-69.596,0.0,top
U2,SiP32431DR3,SOT-363_SC-70-6,190.85,-93.25,0.0,top
U3,SiP32431DR3,SOT-363_SC-70-6,209.139294,-91.748822,0.0,top
U4,SiP32431DR3,SOT-363_SC-70-6,226.978465,-89.599763,-90.0,top
U5,SiP32431DR3,SOT-363_SC-70-6,186.3625,-58.4,0.0,top
WIFI1,WIFI_INTERFACE,PinSocket_1x13_P2.54mm_Vertical,226.96,-101.74,-90.0,top
Wi3V3,JUMP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,196.9,-93.3,-90.0,top
Wi_3V32,Wi_3V32,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,190.75,-90.6,0.0,top
Wi_RXD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,233.95,-48.05,180.0,top
Wi_TXD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,238.0,-48.05,180.0,top
Y1,32.768 kHz LSE,Crystal_SMD_3215-2Pin_3.2x1.5mm,200.586,-60.644,180.0,top
Y3,Crystal_GND23,Crystal_SMD_3225-4Pin_3.2x2.5mm,194.75,-65.87,180.0,top
jump2,SD_3V3_2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,178.25,-58.35,-90.0,top
uCSWD0,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,213.698918,-40.477928,90.0,top
uCSWD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,221.93,-40.44,90.0,top
uC_RXD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,227.7,-41.48,0.0,top
uC_TXD1,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,231.6,-41.55,0.0,top
